"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Forma de Vinculación","Tipo de Vinculación","latitud-longitud"
"305.698",,"2.002","0","0","68217","COROMORO","SANTANDER","PROVINCIA DE GUANENTA","DESCONOCIDA","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-72.98176802 6.234735779)"
"305.699",,"2.003","7","22","68217","COROMORO","SANTANDER","PROVINCIA DE GUANENTA","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-72.98176802 6.234735779)"
"305.700",,"0","0","0","68217","COROMORO","SANTANDER","PROVINCIA DE GUANENTA","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-72.98176802 6.234735779)"
"305.701",,"0","0","0","68211","CONTRATACION","SANTANDER","SERRANIA DE LOS YARIGUIES","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-73.50211527 6.303116611)"
"305.703",,"1.979","1","1","68207","CONCEPCION","SANTANDER","PROVINCIA DE GARCIA ROVIRA","DESCONOCIDA","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-72.61815735 6.76062337)"
"305.704",,"0","0","0","68207","CONCEPCION","SANTANDER","PROVINCIA DE GARCIA ROVIRA","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-72.61815735 6.76062337)"
"305.706",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.707",,"2.002","7","31","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.708",,"2.002","10","31","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.709",,"2.003","6","19","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.710",,"2.008","3","3","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.711",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-74.17030427 6.40972961)"
"305.712",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.713",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.714",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.715",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.716",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
"305.717",,"0","0","0","68190","CIMITARRA","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.17030427 6.40972961)"
